,Order_ID,Customer_ID,Employee_ID,Shipper_ID,Product_ID,Category_ID,Order_Date,Require_date,Shipper_Date,Company_Name,Customer_Name,Customer_Title,Customer_City,Customer_Country,EmployeeName,Employee_Title,Employee_City,Employee_Country,Reports_To,Product_Name,Quantity_Per_Unit,Product_Unit_Price,Discontinued,Category_Name,Description,Shipper_Company,Cost,Unit_Price,Quantity,Discount,Revenue,Profit,Year,Month,Day,Quarter,Day_Name,Weekend_Flag,Processing_Time
10,10251,VICTE,3,1,65,2,2013-07-08,2013-08-05,2013-07-15,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8.0,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Speedy Express,41.34,16.8,20.0,0.0,336.0,294.65999999999997,2013,7,8,3,Monday,0,7 days
11,10252,SUPRD,4,2,20,3,2013-07-09,2013-08-06,2013-07-11,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,8.0,Sir Rodney's Marmalade,30 gift boxes,81.0,0,Confections,"Desserts, candies, and sweet breads",United Package,51.3,64.8,40.0,0.05,2462.4,2411.1,2013,7,9,3,Tuesday,0,2 days
12,10252,SUPRD,4,2,33,4,2013-07-09,2013-08-06,2013-07-11,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,8.0,Geitost,500 g,27.97,0,Dairy Products,Cheeses,United Package,51.3,2.0,25.0,0.05,47.5,-3.799999999999997,2013,7,9,3,Tuesday,0,2 days
13,10252,SUPRD,4,2,60,4,2013-07-09,2013-08-06,2013-07-11,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,8.0,Camembert Pierrot,15 - 300 g rounds,34.0,0,Dairy Products,Cheeses,United Package,51.3,27.2,40.0,0.0,1088.0,1036.7,2013,7,9,3,Tuesday,0,2 days
14,10253,HANAR,3,2,31,4,2013-07-10,2013-07-24,2013-07-16,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,8.0,Gorgonzola Telino,12 - 100 g pkgs,27.97,0,Dairy Products,Cheeses,United Package,58.17,10.0,20.0,0.0,200.0,141.82999999999998,2013,7,10,3,Wednesday,0,6 days
15,10253,HANAR,3,2,39,1,2013-07-10,2013-07-24,2013-07-16,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,8.0,Chartreuse verte,750 cc per bottle,18.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,58.17,14.4,42.0,0.0,604.8000000000001,546.6300000000001,2013,7,10,3,Wednesday,0,6 days
16,10253,HANAR,3,2,49,3,2013-07-10,2013-07-24,2013-07-16,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,8.0,Maxilaku,24 - 50 g pkgs.,20.0,0,Confections,"Desserts, candies, and sweet breads",United Package,58.17,16.0,40.0,0.0,640.0,581.83,2013,7,10,3,Wednesday,0,6 days
17,10254,CHOPS,5,2,24,1,2013-07-11,2013-08-08,2013-07-23,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,2.0,Guarana Fantastica,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,22.98,3.6,15.0,0.15,45.9,22.919999999999998,2013,7,11,3,Thursday,0,12 days
18,10254,CHOPS,5,2,55,6,2013-07-11,2013-08-08,2013-07-23,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,2.0,Pâté chinois,24 boxes x 2 pies,24.0,0,Meat & Poultry,Prepared meats,United Package,22.98,19.2,21.0,0.15,342.71999999999997,319.73999999999995,2013,7,11,3,Thursday,0,12 days
19,10254,CHOPS,5,2,74,7,2013-07-11,2013-08-08,2013-07-23,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,2.0,Longlife Tofu,5 kg pkg.,10.0,0,Produce,Dried fruit and bean curd,United Package,22.98,8.0,21.0,0.0,168.0,145.02,2013,7,11,3,Thursday,0,12 days
20,10255,RICSU,9,3,2,1,2013-07-12,2013-08-09,2013-07-15,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5.0,Chang,24 - 12 oz bottles,19.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,148.33,15.2,20.0,0.0,304.0,155.67,2013,7,12,3,Friday,1,3 days
21,10255,RICSU,9,3,16,3,2013-07-12,2013-08-09,2013-07-15,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5.0,Pavlova,32 - 500 g boxes,17.45,0,Confections,"Desserts, candies, and sweet breads",Federal Shipping,148.33,13.9,35.0,0.0,486.5,338.16999999999996,2013,7,12,3,Friday,1,3 days
22,10255,RICSU,9,3,36,8,2013-07-12,2013-08-09,2013-07-15,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5.0,Inlagd Sill,24 - 250 g  jars,19.0,0,Seafood,Seaweed and fish,Federal Shipping,148.33,15.2,25.0,0.0,380.0,231.67,2013,7,12,3,Friday,1,3 days
23,10255,RICSU,9,3,59,4,2013-07-12,2013-08-09,2013-07-15,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5.0,Raclette Courdavault,5 kg pkg.,55.0,0,Dairy Products,Cheeses,Federal Shipping,148.33,44.0,30.0,0.0,1320.0,1171.67,2013,7,12,3,Friday,1,3 days
24,10256,WELLI,3,2,53,6,2013-07-15,2013-08-12,2013-07-17,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8.0,Perth Pasties,48 pieces,32.8,1,Meat & Poultry,Prepared meats,United Package,13.97,26.2,15.0,0.0,393.0,379.03,2013,7,15,3,Monday,0,2 days
25,10256,WELLI,3,2,77,2,2013-07-15,2013-08-12,2013-07-17,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8.0,Original Frankfurter Grüne Soße,12 boxes,13.0,0,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",United Package,13.97,10.4,12.0,0.0,124.80000000000001,110.83000000000001,2013,7,15,3,Monday,0,2 days
26,10257,HILAA,4,3,27,3,2013-07-16,2013-08-13,2013-07-22,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,8.0,Schoggi Schokolade,100 - 100 g pieces,43.9,0,Confections,"Desserts, candies, and sweet breads",Federal Shipping,81.91,35.1,25.0,0.0,877.5,795.59,2013,7,16,3,Tuesday,0,6 days
27,10257,HILAA,4,3,39,1,2013-07-16,2013-08-13,2013-07-22,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,8.0,Chartreuse verte,750 cc per bottle,18.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,81.91,14.4,20.0,0.0,288.0,206.09,2013,7,16,3,Tuesday,0,6 days
28,10257,HILAA,4,3,77,2,2013-07-16,2013-08-13,2013-07-22,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,8.0,Original Frankfurter Grüne Soße,12 boxes,13.0,0,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Federal Shipping,81.91,10.4,15.0,0.0,156.0,74.09,2013,7,16,3,Tuesday,0,6 days
29,10258,ERNSH,1,1,2,1,2013-07-17,2013-08-14,2013-07-23,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,8.0,Chang,24 - 12 oz bottles,19.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,140.51,15.2,50.0,0.2,608.0,467.49,2013,7,17,3,Wednesday,0,6 days
30,10258,ERNSH,1,1,5,2,2013-07-17,2013-08-14,2013-07-23,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,8.0,Chef Anton's Gumbo Mix,36 boxes,21.35,1,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Speedy Express,140.51,17.0,65.0,0.2,884.0,743.49,2013,7,17,3,Wednesday,0,6 days
31,10258,ERNSH,1,1,32,4,2013-07-17,2013-08-14,2013-07-23,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,8.0,Mascarpone Fabioli,24 - 200 g pkgs.,32.0,0,Dairy Products,Cheeses,Speedy Express,140.51,25.6,6.0,0.2,122.88000000000002,-17.629999999999967,2013,7,17,3,Wednesday,0,6 days
32,10259,CENTC,4,3,21,3,2013-07-18,2013-08-15,2013-07-25,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Margaret Peacock,Sales Representative,New York,USA,8.0,Sir Rodney's Scones,24 pkgs. x 4 pieces,10.0,0,Confections,"Desserts, candies, and sweet breads",Federal Shipping,3.25,8.0,10.0,0.0,80.0,76.75,2013,7,18,3,Thursday,0,7 days
33,10259,CENTC,4,3,37,8,2013-07-18,2013-08-15,2013-07-25,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Margaret Peacock,Sales Representative,New York,USA,8.0,Gravad lax,12 - 500 g pkgs.,26.0,0,Seafood,Seaweed and fish,Federal Shipping,3.25,20.8,1.0,0.0,20.8,17.55,2013,7,18,3,Thursday,0,7 days
34,10260,OTTIK,4,1,41,8,2013-07-19,2013-08-16,2013-07-29,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,Seafood,Seaweed and fish,Speedy Express,55.09,7.7,16.0,0.25,92.4,37.31,2013,7,19,3,Friday,1,10 days
35,10260,OTTIK,4,1,57,5,2013-07-19,2013-08-16,2013-07-29,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Ravioli Angelo,24 - 250 g pkgs.,19.5,0,Grains & Cereals,"Breads, crackers, pasta, and cereal",Speedy Express,55.09,15.6,50.0,0.0,780.0,724.91,2013,7,19,3,Friday,1,10 days
36,10260,OTTIK,4,1,62,3,2013-07-19,2013-08-16,2013-07-29,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Tarte au sucre,48 pies,49.3,0,Confections,"Desserts, candies, and sweet breads",Speedy Express,55.09,39.4,15.0,0.25,443.25,388.15999999999997,2013,7,19,3,Friday,1,10 days
37,10260,OTTIK,4,1,70,1,2013-07-19,2013-08-16,2013-07-29,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Outback Lager,24 - 355 ml bottles,15.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,55.09,12.0,21.0,0.25,189.0,133.91,2013,7,19,3,Friday,1,10 days
38,10261,QUEDE,4,2,21,3,2013-07-19,2013-08-16,2013-07-30,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,Sir Rodney's Scones,24 pkgs. x 4 pieces,10.0,0,Confections,"Desserts, candies, and sweet breads",United Package,3.05,8.0,20.0,0.0,160.0,156.95,2013,7,19,3,Friday,1,11 days
39,10261,QUEDE,4,2,35,1,2013-07-19,2013-08-16,2013-07-30,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,Steeleye Stout,24 - 12 oz bottles,18.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,3.05,14.4,20.0,0.0,288.0,284.95,2013,7,19,3,Friday,1,11 days
40,10262,RATTC,8,3,5,2,2013-07-22,2013-08-19,2013-07-25,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,2.0,Chef Anton's Gumbo Mix,36 boxes,21.35,1,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Federal Shipping,48.29,17.0,12.0,0.2,163.20000000000002,114.91000000000003,2013,7,22,3,Monday,0,3 days
41,10262,RATTC,8,3,7,7,2013-07-22,2013-08-19,2013-07-25,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,2.0,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,30.0,0,Produce,Dried fruit and bean curd,Federal Shipping,48.29,24.0,15.0,0.0,360.0,311.71,2013,7,22,3,Monday,0,3 days
42,10262,RATTC,8,3,56,5,2013-07-22,2013-08-19,2013-07-25,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,2.0,Gnocchi di nonna Alice,24 - 250 g pkgs.,38.0,0,Grains & Cereals,"Breads, crackers, pasta, and cereal",Federal Shipping,48.29,30.4,2.0,0.0,60.8,12.509999999999998,2013,7,22,3,Monday,0,3 days
43,10263,ERNSH,9,3,16,3,2013-07-23,2013-08-20,2013-07-31,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5.0,Pavlova,32 - 500 g boxes,17.45,0,Confections,"Desserts, candies, and sweet breads",Federal Shipping,146.06,13.9,60.0,0.25,625.5,479.44,2013,7,23,3,Tuesday,0,8 days
44,10263,ERNSH,9,3,24,1,2013-07-23,2013-08-20,2013-07-31,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5.0,Guarana Fantastica,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,146.06,3.6,28.0,0.0,100.8,-45.260000000000005,2013,7,23,3,Tuesday,0,8 days
45,10263,ERNSH,9,3,30,8,2013-07-23,2013-08-20,2013-07-31,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5.0,Nord-Ost Matjeshering,10 - 200 g glasses,25.89,0,Seafood,Seaweed and fish,Federal Shipping,146.06,20.7,60.0,0.25,931.5,785.44,2013,7,23,3,Tuesday,0,8 days
46,10263,ERNSH,9,3,74,7,2013-07-23,2013-08-20,2013-07-31,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5.0,Longlife Tofu,5 kg pkg.,10.0,0,Produce,Dried fruit and bean curd,Federal Shipping,146.06,8.0,36.0,0.25,216.0,69.94,2013,7,23,3,Tuesday,0,8 days
47,10264,FOLKO,6,3,2,1,2013-07-24,2013-08-21,2013-08-23,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden,Michael Suyama,Sales Representative,London,UK,5.0,Chang,24 - 12 oz bottles,19.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,3.67,15.2,35.0,0.0,532.0,528.33,2013,7,24,3,Wednesday,0,30 days
48,10264,FOLKO,6,3,41,8,2013-07-24,2013-08-21,2013-08-23,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden,Michael Suyama,Sales Representative,London,UK,5.0,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,Seafood,Seaweed and fish,Federal Shipping,3.67,7.7,25.0,0.15,163.625,159.955,2013,7,24,3,Wednesday,0,30 days
49,10265,BLONP,2,1,17,6,2013-07-25,2013-08-22,2013-08-12,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,Andrew Fuller,Vice President Sales,New York,USA,8.0,Alice Mutton,20 - 1 kg tins,39.0,1,Meat & Poultry,Prepared meats,Speedy Express,55.28,31.2,20.0,0.0,624.0,568.72,2013,7,25,3,Thursday,0,18 days
50,10265,BLONP,2,1,70,1,2013-07-25,2013-08-22,2013-08-12,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,Andrew Fuller,Vice President Sales,New York,USA,8.0,Outback Lager,24 - 355 ml bottles,15.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,55.28,12.0,20.0,0.0,240.0,184.72,2013,7,25,3,Thursday,0,18 days
51,10266,WARTH,3,3,12,4,2013-07-26,2013-09-06,2013-07-31,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Janet Leverling,Sales Representative,New York,USA,8.0,Queso Manchego La Pastora,10 - 500 g pkgs.,38.0,0,Dairy Products,Cheeses,Federal Shipping,25.73,30.4,12.0,0.05,346.55999999999995,320.8299999999999,2013,7,26,3,Friday,1,5 days
52,10267,FRANK,4,1,40,8,2013-07-29,2013-08-26,2013-08-06,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Boston Crab Meat,24 - 4 oz tins,18.4,0,Seafood,Seaweed and fish,Speedy Express,208.58,14.7,50.0,0.0,735.0,526.42,2013,7,29,3,Monday,0,8 days
53,10267,FRANK,4,1,59,4,2013-07-29,2013-08-26,2013-08-06,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Raclette Courdavault,5 kg pkg.,55.0,0,Dairy Products,Cheeses,Speedy Express,208.58,44.0,70.0,0.15,2618.0,2409.42,2013,7,29,3,Monday,0,8 days
54,10267,FRANK,4,1,76,1,2013-07-29,2013-08-26,2013-08-06,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Margaret Peacock,Sales Representative,New York,USA,8.0,Lakkaliköri,500 ml,18.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,208.58,14.4,15.0,0.15,183.6,-24.980000000000018,2013,7,29,3,Monday,0,8 days
55,10268,GROSR,8,3,29,6,2013-07-30,2013-08-27,2013-08-02,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Laura Callahan,Sales Manager,New York,USA,2.0,Thüringer Rostbratwurst,50 bags x 30 sausgs.,123.79,1,Meat & Poultry,Prepared meats,Federal Shipping,66.29,99.0,10.0,0.0,990.0,923.71,2013,7,30,3,Tuesday,0,3 days
56,10268,GROSR,8,3,72,4,2013-07-30,2013-08-27,2013-08-02,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Laura Callahan,Sales Manager,New York,USA,2.0,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Dairy Products,Cheeses,Federal Shipping,66.29,27.8,4.0,0.0,111.2,44.91,2013,7,30,3,Tuesday,0,3 days
57,10269,WHITC,5,1,33,4,2013-07-31,2013-08-14,2013-08-09,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Steven Buchanan,Sales Manager,London,UK,2.0,Geitost,500 g,2.5,0,Dairy Products,Cheeses,Speedy Express,4.56,2.0,60.0,0.05,114.0,109.44,2013,7,31,3,Wednesday,0,9 days
58,10269,WHITC,5,1,72,4,2013-07-31,2013-08-14,2013-08-09,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Steven Buchanan,Sales Manager,London,UK,2.0,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Dairy Products,Cheeses,Speedy Express,4.56,27.8,20.0,0.05,528.1999999999999,523.64,2013,7,31,3,Wednesday,0,9 days
59,10270,WARTH,1,1,36,8,2013-08-01,2013-08-29,2013-08-02,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Nancy Davolio,Sales Representative,New York,USA,8.0,Inlagd Sill,24 - 250 g  jars,19.0,0,Seafood,Seaweed and fish,Speedy Express,136.54,15.2,30.0,0.0,456.0,319.46000000000004,2013,8,1,3,Thursday,0,1 days
60,10270,WARTH,1,1,43,1,2013-08-01,2013-08-29,2013-08-02,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Nancy Davolio,Sales Representative,New York,USA,8.0,Ipoh Coffee,16 - 500 g tins,46.0,0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,136.54,36.8,25.0,0.0,919.9999999999999,783.4599999999999,2013,8,1,3,Thursday,0,1 days
61,10271,SPLIR,6,2,33,4,2013-08-01,2013-08-29,2013-08-30,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,Michael Suyama,Sales Representative,London,UK,5.0,Geitost,500 g,2.5,0,Dairy Products,Cheeses,United Package,4.54,2.0,24.0,0.0,48.0,43.46,2013,8,1,3,Thursday,0,29 days
62,10272,RATTC,6,2,20,3,2013-08-02,2013-08-30,2013-08-06,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,5.0,Sir Rodney's Marmalade,30 gift boxes,81.0,0,Confections,"Desserts, candies, and sweet breads",United Package,98.03,64.8,6.0,0.0,388.79999999999995,290.77,2013,8,2,3,Friday,1,4 days
63,10272,RATTC,6,2,31,4,2013-08-02,2013-08-30,2013-08-06,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,5.0,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Dairy Products,Cheeses,United Package,98.03,10.0,40.0,0.0,400.0,301.97,2013,8,2,3,Friday,1,4 days
64,10272,RATTC,6,2,72,4,2013-08-02,2013-08-30,2013-08-06,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,5.0,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Dairy Products,Cheeses,United Package,98.03,27.8,24.0,0.0,667.2,569.1700000000001,2013,8,2,3,Friday,1,4 days
65,10273,QUICK,3,3,10,8,2013-08-05,2013-09-02,2013-08-12,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8.0,Ikura,12 - 200 ml jars,31.0,0,Seafood,Seaweed and fish,Federal Shipping,76.07,24.8,24.0,0.05,565.44,489.37000000000006,2013,8,5,3,Monday,0,7 days
66,10273,QUICK,3,3,31,4,2013-08-05,2013-09-02,2013-08-12,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8.0,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Dairy Products,Cheeses,Federal Shipping,76.07,10.0,15.0,0.05,142.5,66.43,2013,8,5,3,Monday,0,7 days
